rank,Category,final_score,skill_match_pct,similarity_pct,matched_count,missing_count,matched_skills,missing_skills
1,AUTOMOBILE,11.03,4.17,21.33,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
2,AUTOMOBILE,10.85,4.17,20.87,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
3,DESIGNER,10.74,4.17,20.6,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
4,APPAREL,10.73,4.17,20.57,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
5,DIGITAL-MEDIA,9.78,4.17,18.19,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
6,HEALTHCARE,9.71,4.17,18.03,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
7,BANKING,9.19,8.33,10.49,2,22,"['communication', 'r']","['agile', 'aws', 'azure', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
8,AVIATION,9.01,4.17,16.28,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
9,HEALTHCARE,8.51,4.17,15.02,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
10,INFORMATION-TECHNOLOGY,8.15,8.33,7.88,2,22,"['aws', 'r']","['agile', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
11,ARTS,8.04,4.17,13.85,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
12,INFORMATION-TECHNOLOGY,7.86,4.17,13.39,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
13,AUTOMOBILE,7.83,4.17,13.32,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
14,DIGITAL-MEDIA,7.5,12.5,0.0,3,21,"['communication', 'git', 'r']","['agile', 'aws', 'azure', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
15,APPAREL,7.07,4.17,11.42,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
16,INFORMATION-TECHNOLOGY,6.87,4.17,10.92,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
17,DIGITAL-MEDIA,6.71,4.17,10.53,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
18,AGRICULTURE,6.69,4.17,10.47,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
19,DIGITAL-MEDIA,6.59,8.33,3.97,2,22,"['git', 'r']","['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
20,BANKING,6.52,4.17,10.04,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
21,DIGITAL-MEDIA,6.5,8.33,3.75,2,22,"['git', 'r']","['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
22,SALES,6.24,4.17,9.34,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
23,AVIATION,5.85,4.17,8.38,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
24,APPAREL,5.85,4.17,8.38,1,23,['r'],"['agile', 'aws', 'azure', 'communication', 'computer vision', 'data analysis', 'data mining', 'data visualization', 'deep learning', 'git', 'machine learning', 'matplotlib', 'neural network', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'scikit', 'sql', 'statistics', 'tableau', 'tensorflow']"
